model,Tw,z,H,F,G,T,Fp,Gp,Tp
lopez,1.7,29.900000000000002,-0.9117996327797421,2.4200154464369327e-12,0.9999999999964772,1.0000000039545816,-2.206790126380728e-12,3.212420157051755e-12,-2.599595703101414e-09
lopez,1.7,29.92,-0.911799632779838,2.3762796145424574e-12,0.9999999999965409,1.0000000039029293,-2.166911811076827e-12,3.154369369901119e-12,-2.56568632686182e-09
lopez,1.7,29.94,-0.9117996327799323,2.3333341586615084e-12,0.9999999999966033,1.000000003851951,-2.1277541603269655e-12,3.097367652760477e-12,-2.532219278725397e-09
lopez,1.7,29.96,-0.9117996327800247,2.2911647449956373e-12,0.9999999999966648,1.0000000038016377,-2.0893041045791325e-12,3.041395980308017e-12,-2.4991887740173983e-09
lopez,1.7,29.98,-0.9117996327801156,2.249757349937136e-12,0.999999999996725,1.0000000037519807,-2.051548857113096e-12,2.9864357389396314e-12,-2.466589118432197e-09
lopez,1.7,30.0,-0.9117996327802047,2.2090982524774364e-12,0.9999999999967842,1.0000000037029713,-2.0144759071184528e-12,2.9324687166925516e-12,-2.4344147064353915e-09
lopez,1.7,30.02,-0.9117996327802923,2.169173848894256e-12,0.9999999999968423,1.000000003654601,-1.9780728507263566e-12,2.8794768572786772e-12,-2.4026599669944567e-09
lopez,1.7,30.04,-0.9117996327803782,2.1299709427557895e-12,0.9999999999968995,1.0000000036068621,-1.9423276554352513e-12,2.827442645008573e-12,-2.37131944967204e-09
lopez,1.7,30.060000000000002,-0.9117996327804626,2.091476449405131e-12,0.9999999999969554,1.0000000035597456,-1.907228390659923e-12,2.776348712552184e-12,-2.3403877373576004e-09
lopez,1.7,30.080000000000002,-0.9117996327805455,2.0536775673440723e-12,0.9999999999970104,1.000000003513244,-1.872763383999125e-12,2.726178068417395e-12,-2.309859497567583e-09
lopez,1.7,30.1,-0.9117996327806269,2.016561771303045e-12,0.9999999999970645,1.0000000034673489,-1.8389212149167745e-12,2.676914087751735e-12,-2.2797294809490286e-09
lopez,1.7,30.12,-0.911799632780707,1.9801166430776735e-12,0.9999999999971175,1.0000000034220522,-1.8056905604988012e-12,2.6285402878108933e-12,-2.2499924704585733e-09
lopez,1.7,30.14,-0.9117996327807854,1.9443301362600875e-12,0.9999999999971696,1.0000000033773464,-1.773060436835046e-12,2.581040679337899e-12,-2.220643361985286e-09
lopez,1.7,30.16,-0.9117996327808624,1.9091903064765213e-12,0.9999999999972208,1.000000003333224,-1.7410199530499964e-12,2.534399408506159e-12,-2.19167708262743e-09
lopez,1.7,30.18,-0.911799632780938,1.8746854678355752e-12,0.9999999999972711,1.000000003289677,-1.7095584539522659e-12,2.4886009645740026e-12,-2.1630886387329553e-09
lopez,1.7,30.2,-0.9117996327810123,1.8408041866021277e-12,0.9999999999973204,1.000000003246698,-1.6786655142664902e-12,2.4436301714880353e-12,-2.1348731144982174e-09
lopez,1.7,30.22,-0.9117996327810853,1.8075351267758772e-12,0.9999999999973688,1.0000000032042795,-1.648330797831847e-12,2.3994719829187773e-12,-2.1070256243761774e-09
lopez,1.7,30.240000000000002,-0.9117996327811569,1.7748672917522255e-12,0.9999999999974163,1.0000000031624143,-1.6185442779483943e-12,2.3561118030183453e-12,-2.0795413885763815e-09
lopez,1.7,30.26,-0.9117996327812274,1.742789778068775e-12,0.999999999997463,1.0000000031210954,-1.5892960128432473e-12,2.3135351595669604e-12,-2.05241565653452e-09
lopez,1.7,30.28,-0.9117996327812964,1.7112919182196213e-12,0.9999999999975088,1.0000000030803153,-1.5605762758885162e-12,2.2717278935310676e-12,-2.025643751900349e-09
lopez,1.7,30.3,-0.9117996327813643,1.6803632748805847e-12,0.9999999999975538,1.0000000030400673,-1.5323755503359246e-12,2.230676151398456e-12,-1.999221071225464e-09
lopez,1.7,30.32,-0.9117996327814308,1.6499934999450512e-12,0.9999999999975981,1.0000000030003442,-1.5046844007857474e-12,2.190366198075833e-12,-1.973143039395534e-09
lopez,1.7,30.34,-0.9117996327814963,1.620172555124941e-12,0.9999999999976416,1.0000000029611393,-1.4774936743306832e-12,2.150784709693578e-12,-1.947405180332933e-09
lopez,1.7,30.36,-0.9117996327815605,1.5908904871573333e-12,0.9999999999976842,1.0000000029224458,-1.4507942955893312e-12,2.1119184752363904e-12,-1.922003045329106e-09
lopez,1.7,30.38,-0.9117996327816237,1.5621375581730152e-12,0.999999999997726,1.000000002884257,-1.4245773855761783e-12,2.0737545695821026e-12,-1.8969322551739385e-09
lopez,1.7,30.400000000000002,-0.9117996327816855,1.5339042404249375e-12,0.9999999999977671,1.0000000028465663,-1.3988342568950725e-12,2.036280346504738e-12,-1.872188498926891e-09
