Tw,method,N,F,G,H,Fz,Gz,rho,T,velocity_error,derivative_error,density_error,temperature_excess_error
1.03,trapezoid,501,0.015522240719321066,0.002118274185268641,0.002191655548703194,0.01571274920517041,0.01303548052423748,0.000987046160175649,0.13694362803604432,0.015522240719321066,0.01571274920517041,0.000987046160175649,0.13694362803604432
1.03,simpson,501,0.015522245704076168,0.0021182741980790296,0.0021916555470203455,0.015702264784943666,0.013035229100912501,0.0009869958347111251,0.13694423856485702,0.015522245704076168,0.015702264784943666,0.0009869958347111251,0.13694423856485702
1.03,trapezoid,1001,0.015522241658897451,0.0021182741875235152,0.002191655548022362,0.015704867646518097,0.013035294923020463,0.0009870082144631752,0.13694406369052442,0.015522241658897451,0.015704867646518097,0.0009870082144631752,0.13694406369052442
1.03,simpson,1001,0.015522241972089493,0.00211827418827514,0.002191655547795418,0.01570223436529334,0.013035233055380718,0.0009869955655683802,0.1369442089095882,0.015522241972089493,0.01570223436529334,0.0009869955655683802,0.1369442089095882
1.03,trapezoid,2001,0.015522241604928839,0.002118274171381643,0.0021916555362854135,0.015702891782185598,0.01303524910896433,0.0009869987151054096,0.13694417120517283,0.015522241604928839,0.015702891782185598,0.0009869987151054096,0.13694417120517283
1.03,simpson,2001,0.015522241586939302,0.0021182741660010188,0.002191655532373097,0.015702232778632055,0.013035233837577823,0.0009869955486325173,0.1369442070434449,0.015522241586939302,0.015702232778632055,0.0009869955486325173,0.1369442070434449
1.03,trapezoid,4001,0.015522241601545394,0.0021182741703734075,0.0021916555355187225,0.01570239737409789,0.013035237525441466,0.0009869963394746326,0.1369441979980175,0.015522241601545394,0.01570239737409789,0.0009869963394746326,0.1369441979980175
1.03,simpson,4001,0.015522241600417578,0.0021182741700373287,0.0021916555352631587,0.015702232547496323,0.013035233664264975,0.0009869955475964372,0.13694420692896922,0.015522241600417578,0.015702232547496323,0.0009869955475964372,0.13694420692896922
1.03,trapezoid,8001,0.015522241601334079,0.002118274170310372,0.0021916555354624394,0.01570227374452452,0.013035234621661212,0.0009869957455175213,0.13694420469086793,0.015522241601334079,0.01570227374452452,0.0009869957455175213,0.13694420469086793
1.03,simpson,8001,0.015522241601263639,0.0021182741702893606,0.002191655535443678,0.015702232533172256,0.013035233653734324,0.0009869955475317379,0.13694420692181827,0.015522241601263639,0.015702232533172256,0.0009869955475317379,0.13694420692181827
1.03,trapezoid,16001,0.015522241601320862,0.0021182741703064337,0.002191655535456832,0.01570224283540337,0.013035233895208683,0.0009869955970251522,0.13694420636374532,0.015522241601320862,0.01570224283540337,0.0009869955970251522,0.13694420636374532
1.03,simpson,16001,0.01552224160131646,0.0021182741703051214,0.0021916555354549623,0.015702232532269576,0.013035233653057834,0.000986995547527691,0.1369442069213711,0.01552224160131646,0.015702232532269576,0.000986995547527691,0.1369442069213711
1.03,trapezoid,32001,0.015522241601320036,0.002118274170306188,0.002191655535455958,0.01570223510801531,0.013035233713564374,0.0009869955599018671,0.13694420678194372,0.015522241601320036,0.01570223510801531,0.0009869955599018671,0.13694420678194372
1.03,simpson,32001,0.015522241601319762,0.0021182741703061054,0.002191655535455667,0.015702232532213457,0.01303523365301627,0.0009869955475274386,0.13694420692134318,0.015522241601319762,0.015702232532213457,0.0009869955475274386,0.13694420692134318
