model,Tw,z,H,F,G,T,Fp,Gp,Tp
traditional,1.045,0.54,-0.09838595680750842,0.14943205003733448,0.3002932889231449,1.0376234074061228,0.11676438238896387,0.500053287642221,-0.013520342102616184
traditional,1.045,0.56,-0.10440877791739953,0.15168008041610218,0.31024251305470235,1.037353195913998,0.10808676719664721,0.4948604687133406,-0.013500616614555979
traditional,1.045,0.58,-0.11051808746461705,0.1537574239943763,0.3200873825940452,1.0370833904009644,0.09969464350829406,0.4896188790012816,-0.01347974226947028
traditional,1.045,0.6,-0.11670717136278605,0.15566972727437958,0.32982698417850026,1.036814013953884,0.09158169009958081,0.4843346738002674,-0.013457708381641589
traditional,1.045,0.62,-0.12296953877512644,0.15742251097357432,0.3394605246475639,1.0365450898564028,0.08374164508488464,0.4790137245357025,-0.013434505943647592
traditional,1.045,0.64,-0.12929891730804985,0.15902117112621708,0.3489873255687314,1.036276641555959,0.07616830891144644,0.4736616282908953,-0.013410127585012267
traditional,1.045,0.66,-0.1356892478509478,0.16047098047190014,0.3584068177441993,1.0360086926313463,0.06885554702875614,0.4682837175704309,-0.013384567527506844
traditional,1.045,0.68,-0.14213467979036548,0.16177708971188734,0.3677185360731854,1.0357412667613766,0.06179729245021954,0.4628850693968226,-0.01335782154255896
traditional,1.045,0.7000000000000001,-0.14862956615308842,0.1629445288848208,0.3769221145298486,1.0354743876943049,0.05498754808676704,0.4574705143075415,-0.013329886907440837
traditional,1.045,0.72,-0.15516845869829077,0.16397820885282496,0.386017281270642,1.0352080792181453,0.048420388851362794,0.4520446452258876,-0.013300762360430885
traditional,1.045,0.74,-0.16174610335802939,0.16488292265293994,0.3950038540492598,1.034942365131897,0.04208996369367372,0.4466118257414748,-0.013270448057886665
traditional,1.045,0.76,-0.1683574353781301,0.1656633471038486,0.40388173563344754,1.0346772692176383,0.035990497326229984,0.4411761985749315,-0.013238945528517782
traditional,1.045,0.78,-0.17499757480613012,0.1663240442724125,0.4126509095156408,1.0344128152135108,0.03011629189666927,0.4357416934717828,-0.01320625762960479
traditional,1.045,0.8,-0.18166182192982655,0.1668694630382448,0.4213114357294518,1.0341490267875824,0.024461728460794224,0.43031203499958876,-0.013172388502300325
traditional,1.045,0.8200000000000001,-0.1883456526847797,0.16730394074733956,0.4298634467832417,1.0338859275126804,0.019021268257587796,0.42489075022521106,-0.013137343526222698
traditional,1.045,0.84,-0.1950447143826897,0.16763170472639957,0.4383071438466578,1.0336235408419558,0.013789453959563306,0.4194811758871096,-0.013101129275834537
traditional,1.045,0.86,-0.2017548211895997,0.16785687402159932,0.4466427929555802,1.0333618900855581,0.008760910634550423,0.4140864657043316,-0.013063753474657361
traditional,1.045,0.88,-0.20847194992374976,0.16798346099329448,0.4548707214583871,1.0331009983880164,0.003930346696665344,0.40870959719655403,-0.013025224951328093
traditional,1.045,0.9,-0.21519223578594776,0.16801537301425348,0.46299131454603987,1.0328408887066145,-0.0007074453352671537,0.40335337844739916,-0.012985553594856881
traditional,1.045,0.92,-0.2219119681984824,0.16795641415543394,0.47100501193070227,1.0325815837906256,-0.0051575881803997865,0.3980204546230433,-0.012944750310344609
traditional,1.045,0.9400000000000001,-0.22862758671402178,0.16781028688203922,0.4789123046533411,1.032323106161419,-0.009425119252778464,0.3927133142940873,-0.012902826974933801
traditional,1.045,0.96,-0.23533567697973065,0.16758059376800896,0.48671373201148116,1.0320654780934657,-0.013514990236181126,0.38743429558044734,-0.012859796393943792
traditional,1.045,0.98,-0.24203296677430355,0.16727083921520935,0.4944098786095604,1.0318087215962157,-0.017432066762300812,0.3821855921052367,-0.012815672257351559
traditional,1.045,1.0,-0.2487163221157562,0.16688443117676413,0.5020013715271552,1.031552858396837,-0.02118112818827937,0.3769692587646328,-0.01277046909664585
traditional,1.045,1.02,-0.2553827434398525,0.16642468288270035,0.5094888776012558,1.0312979099238109,-0.024766867468721625,0.3717872173183391,-0.012724202242095606
traditional,1.045,1.04,-0.26202936185048536,0.16589481456507366,0.5168731008192545,1.031043897291367,-0.02819389111640171,0.36664126180371703,-0.012676887780480378
traditional,1.045,1.06,-0.2686534354292481,0.16529795519003737,0.5241547798157884,1.0307908412847833,-0.031466719255918596,0.36153306378986666,-0.012628542513253219
