Tw,model,variable,z,value,d1_dz,d2_dz2
1.0,Boussinesq,F,1.45,0.15926915242079911,-0.06689738495828923,-0.053390988803547756
1.0,Boussinesq,F,1.46,0.15859750963540042,-0.0674211770622577,-0.05137982707723543
1.0,Boussinesq,F,1.47,0.15792072887955397,-0.06792498149983395,-0.04938339000584113
1.0,Boussinesq,F,1.48,0.15723901000540375,-0.06840884486237453,-0.04741271979620265
1.0,Boussinesq,F,1.49,0.15655255198230647,-0.068873235895758,-0.045498545627076226
1.0,Boussinesq,F,1.5,0.15586154528748858,-0.06931881577491605,-0.043629385141086274
1.0,Boussinesq,F,1.51,0.15516617566680815,-0.06974582359857973,-0.04177433255390106
1.0,Boussinesq,F,1.52,0.15446662881551698,-0.07015430242599408,-0.03994347515021701
1.0,Boussinesq,F,1.53,0.15376308961828827,-0.07054469310158407,-0.03816606148596691
1.0,Boussinesq,F,1.54,0.1530557349534853,-0.07091762365571341,-0.03643156520714008
1.0,Boussinesq,F,1.55,0.152344737145174,-0.07127332440572687,-0.034710572918283944
1.0,Boussinesq,F,1.56,0.15163026846537075,-0.07161183511407909,-0.033012274202937064
1.0,Boussinesq,F,1.57,0.15091250044289242,-0.07193356988978561,-0.03136447400904352
1.0,Boussinesq,F,1.58,0.15019159706757504,-0.07223912459425996,-0.029757545913033923
1.0,Boussinesq,F,1.59,0.14946771795100722,-0.07252872080804629,-0.028163531343938786
1.0,Boussinesq,F,1.6,0.14874102265141412,-0.07280239522113874,-0.026590777948820588
1.0,Boussinesq,F,1.61,0.14801167004658444,-0.0730605363670227,-0.025065685940850457
1.0,Boussinesq,F,1.62,0.14727981192407366,-0.07330370893995575,-0.023579474127810585
1.0,Boussinesq,F,1.6300000000000001,0.14654559586778532,-0.07353212584957891,-0.02210559933342182
1.0,Boussinesq,F,1.6400000000000001,0.14580916940708208,-0.07374582092662418,-0.02065162141811072
1.0,Boussinesq,F,1.6500000000000001,0.14507067944925284,-0.07394515827794113,-0.019242576274880463
1.0,Boussinesq,F,1.6600000000000001,0.14433026624152326,-0.07413067245212179,-0.017870474778014955
1.0,Boussinesq,F,1.67,0.1435880660002104,-0.07430256777350142,-0.01651014817469809
1.0,Boussinesq,F,1.68,0.14284421488605326,-0.07446087541561575,-0.01516842093725046
1.0,Boussinesq,F,1.69,0.14209884849189808,-0.07460593619224642,-0.013869006302469344
1.0,Boussinesq,F,1.7,0.1413520961622083,-0.07473825554166513,-0.012604655712822321
1.0,Boussinesq,F,1.71,0.14060408338106478,-0.07485802930650287,-0.011351532624814809
1.0,Boussinesq,F,1.72,0.13985493557607825,-0.07496528619416143,-0.01011577666778507
1.0,Boussinesq,F,1.73,0.13910477765718154,-0.07506034483985857,-0.008919821053776644
1.0,Boussinesq,F,1.74,0.13835372867928108,-0.07514368261523696,-0.007757108073924712
1.0,Boussinesq,F,1.75,0.13760190400487682,-0.07521548700133707,-0.006605090218103626
1.0,Boussinesq,F,1.76,0.13684941893925434,-0.07527578441959903,-0.005469270875524401
1.0,Boussinesq,F,1.77,0.13609638831648482,-0.07532487241884755,-0.0043708465808922625
1.0,Boussinesq,F,1.78,0.1353429214908774,-0.07536320135121688,-0.003303902618023713
1.0,Boussinesq,F,1.79,0.1345891242894605,-0.07539095047120803,-0.0022471366299736673
1.0,Boussinesq,F,1.8,0.13383510248145322,-0.07540814408381635,-0.0012054623652613117
1.0,Boussinesq,F,1.81,0.13308096140778417,-0.07541505971851326,-0.0001988835084620888
