Tw , x_cheb                , F_i                    , G_i                  , minus_G_i             , H_i                    , T_i               , F_c                   , G_c                    , H_c                    , T_c               , rho_c             , dF_c_minus_i           , dG_c_minus_i_raw      , dG_c_minus_minus_Gi   , dH_c_minus_i           , dT_c_minus_i
1.9,  9.825375675287532    , 3.968303311062462e-05  , 0.9999997871548489   , -0.9999997871548489   , -1.6463526842315481    , 1.0000219186193426, 0.0008034825111204293 , -0.9989541233805795    , -0.8908850019527352    , 1.009323007558894 , 0.9907631080545344, 0.0007637994780098047  , -1.9989539105354286   , 0.0010456637742694008 , 0.7554676822788129     , 0.009301088939551283
1.9, 10.016831558672823    , 3.1654102396448016e-05 , 0.9999998447020207   , -0.9999998447020207   , -1.6463662845073603    , 1.0000174681782683, 0.0006794641671575894 , -0.9991157445288238    , -0.890231981956326     , 1.008262421554916 , 0.9918052866215384, 0.0006478100647611414  , -1.9991155892308445   , 0.0008841001731969556 , 0.7561343025510343     , 0.008244953376647768
1.9, 10.211665175917304    , 2.5147012315044138e-05 , 0.999999887319247    , -0.999999887319247    , -1.6463773030245379    , 1.000013865679659 , 0.0005727737567734719 , -0.999254728555981     , -0.8896307044971495    , 1.0073058934342904, 0.9927470955129808, 0.0005476267444584277  , -1.999254615875228    , 0.000745158763266085  , 0.7567465985273883     , 0.007292027754631336
1.9, 10.410116401101149    , 1.9890789977476322e-05 , 0.9999999187274276   , -0.9999999187274276   , -1.6463862004956942    , 1.0000109589838333, 0.0004812168458553535 , -0.9993739576540761    , -0.8890785337883459    , 1.0064445436881486, 0.9935967225133614, 0.00046132605587787716 , -1.9993738763815037   , 0.0006259610733514442 , 0.7573076667073483     , 0.0064335847043153205
1.9, 10.61244222908376     , 1.5660532742248305e-05 , 0.9999999417514216   , -0.9999999417514216   , -1.6463933590511466    , 1.0000086221045728, 0.00040285483040565154, -0.9994759739589482    , -0.8885728160329144    , 1.005670190128242 , 0.9943617796531097, 0.00038719429766340325 , -1.9994759157103696   , 0.0005239677924734343 , 0.7578205430182322     , 0.00566156802366935
1.9, 10.818917457364401    , 1.2268533022195373e-05 , 0.9999999585385652   , -0.9999999585385652   , -1.6463990974219076    , 1.0000067501208634, 0.0003359741511245611 , -0.9995630214061617    , -0.8881108969058987    , 1.004975275379556 , 0.9950493554404342, 0.00032370561810236576 , -1.9995629799447268   , 0.00043693713240344767, 0.7582882005160089     , 0.004968525258692624
1.9, 11.02983541979551     , 9.560230419555135e-06  , 0.9999999707027464   , -0.9999999707027464   , -1.6464036779069475    , 1.0000052568077864, 0.00027906454536783594, -0.9996370753833048    , -0.8876901564388133    , 1.0043528402140742, 0.9956660248870841, 0.00026950431494828083 , -1.9996370460860513   , 0.0003628953194415585 , 0.7587135214681342     , 0.004347583406287825
1.9, 11.245508780415834    , 7.407688294332002e-06  , 0.9999999794587194   , -0.9999999794587194   , -1.6464073175073843    , 1.0000040709251512, 0.0002307976874600445 , -0.9996998715614503    , -0.887308033698882     , 1.00379648835467  , 0.9962178704560993, 0.0002233899991657125  , -1.9996998510201698   , 0.00030010789726908627, 0.7590992838085023     , 0.0037924174295187463
1.9, 11.46627039634636     , 5.7048969448391565e-06 , 0.9999999857184482   , -0.9999999857184482   , -1.6464101959425728    , 1.0000031335457173, 0.00019000344200433141, -0.9997529375833263    , -0.886962023179455     , 1.003300314805034 , 0.9967105414437398, 0.00018429854505949225 , -1.9997529233017746   , 0.0002470481351218856 , 0.7594481727631177     , 0.0032971812593165506
1.9, 11.692474259414997    , 4.365035639810422e-06  , 0.999999990159215    , -0.999999990159215    , -1.6464124603343726    , 1.0000023964846718, 0.00015565494839742344, -0.9997976130579221    , -0.8866496993648632    , 1.0028588902651616, 0.9971492596885633, 0.00015128991275761302 , -1.9997976032171372   , 0.00020237710129289432, 0.7597627609695095     , 0.0028564937804897994
1.9, 11.92449652695723     , 3.316751504629899e-06  , 0.9999999932836995   , -0.9999999932836995   , -1.6464142315423669    , 1.0000018202005811, 0.00012685141654184435, -0.9998350723910338    , -0.8863687186395371    , 1.0024672150469605, 0.9975388571217814, 0.00012353466503721444 , -1.9998350656747332   , 0.00016492089266573196, 0.7600455129028297     , 0.0024653948463793096
1.9, 12.162736653093464    , 2.5015531481534936e-06 , 0.999999995462905    , -0.999999995462905    , -1.6464156086020103    , 1.000001372324231 , 0.00010280383334535882, -0.9998663437137669    , -0.8861168241539495    , 1.0021206847163158, 0.99788380307017  , 0.00010030228019720533 , -1.999866339176672    , 0.0001336517491380418 , 0.7602987844480608     , 0.002119312392084849
1.9, 12.40761863272433     , 1.871811839158828e-06  , 0.9999999969683558   , -0.9999999969683558   , -1.6464166721275348    , 1.0000010265311823, 8.282163312469347e-05 , -0.9998923264710192    , -0.8858918439859367    , 1.0018150513220159, 0.9981882371205936, 8.094982128553464e-05  , -1.999892323439375    , 0.00010767049733662049, 0.7605248281415982     , 0.0018140247908335905
1.9, 12.659592371530325    , 1.38877062357499e-06   , 0.9999999979978343   , -0.9999999979978343   , -1.6464174876952957    , 1.0000007614257123, 6.630239667838734e-05 , -0.9999138050051023    , -0.8856916995866255    , 1.0015464045888174, 0.9984559830860236, 6.491362605481235e-05  , -1.9999138030029366   , 8.619299273204817e-05 , 0.7607257881086702     , 0.001545643163105126
1.9, 12.919135196431618    , 1.021111564484849e-06  , 0.9999999986940699   , -0.9999999986940699   , -1.6464181082787932    , 1.0000005597374457, 5.272112792128903e-05 , -0.9999314626399635    , -0.8855144014983585    , 1.0013111380564341, 0.9986905787755651, 5.1700016356804186e-05 , -1.9999314613340333   , 6.853605410639396e-05 , 0.7609037067804347     , 0.001310578318988398
1.9, 13.186753522279917    , 7.435653840859659e-07  , 0.999999999159436    , -0.999999999159436    , -1.6464185766083512    , 1.0000004075455153, 4.162153293938273e-05 , -0.9999458931236869    , -0.8853580504047837    , 1.0011059267369589, 0.9988952949858527, 4.087796755529676e-05  , -1.9999458922831228   , 5.4106035749179604e-05, 0.7610605262035676     , 0.001105519191443527
1.9, 13.462984692042156    , 5.358859248106688e-07  , 0.9999999994666001   , -0.9999999994666001   , -1.6464189269114586    , 1.0000002937065027, 3.260811292019001e-05 , -0.9999576109848309    , -0.8852208366373263    , 1.0009277053832628, 0.9990731544563375, 3.2072226995379335e-05 , -1.999957610451431    , 4.2388481769184416e-05, 0.7611980902741323     , 0.000927411676760137
1.9, 13.748399009424487    , 3.819655116044695e-07  , 0.999999999666602    , -0.999999999666602    , -1.6464191864129554    , 1.0000002093621845, 2.53390565753464e-05  , -0.9999670608283029    , -0.8851010385030545    , 1.0007736476878848, 0.9992269503801662, 2.495709106374193e-05  , -1.999967060494905    , 3.293883829913469e-05 , 0.7613181479099008     , 0.0007734383257003152
