Tw,z,F_i,G_i,minus_G_i,H_i,T_i,F_c,G_c,H_c,T_c,rho_c,dF_c_minus_i,dG_c_minus_i_raw,dG_c_minus_minus_Gi,dH_c_minus_i,dT_c_minus_i
1.5,6.8500000000000005,0.0023314924191372983,0.9998961862445666,-0.9998961862445666,-1.443932357833978,1.0010420588095743,0.0052552887115601575,-0.9931061843049747,-0.8901434045993175,1.0201792613706573,0.9802198867054546,0.002923796292422859,-1.9930023705495412,0.006790001939591894,0.5537889532346605,0.019137202561082978
1.5,6.86,0.002307866434009706,0.9998976783423171,-0.9998976783423171,-1.44397875103092,1.0010312644901138,0.0052103333668809,-0.9931656940171315,-0.8901390890808893,1.0200543834843288,0.9803398879422228,0.0029024669328711937,-1.9930633723594486,0.006731984325185625,0.5538396619500308,0.019023118994214938
1.5,6.87,0.002284477287178979,0.9998991490038446,-0.9998991490038446,-1.4440246740955918,1.001020581810187,0.005165749938331583,-0.9932247022028955,-0.8901345240142076,1.0199302499288572,0.9804592030383966,0.0028812726511526043,-1.99312385120674,0.006674446800949085,0.5538901500813842,0.01890966811867023
1.5,6.88,0.002261322662577641,0.9999005985332554,-0.9999005985332554,-1.444070131702523,1.001010009628486,0.0051215395634640485,-0.9932832074903407,-0.8901297106416495,1.0198068647183562,0.9805778276224623,0.0028602169008864076,-1.993183806023596,0.0066173910429147,0.5539404210608736,0.01879685508987028
1.5,6.890000000000001,0.0022384002448352838,0.9999020272345261,-0.9999020272345261,-1.444115128524805,1.000999546804066,0.005077701205710592,-0.9933412114348724,-0.8901246516071156,1.0196842274582647,0.9806957615620564,0.0028393009608753085,-1.9932432386693986,0.00656081579965373,0.5539904769176894,0.018684680654198704
1.5,6.9,0.0022157077223001107,0.9999034354108867,-0.9999034354108867,-1.4441596692277996,1.0009891921979477,0.005034224053769797,-0.9933987287610344,-0.8901193559727052,1.019562318079646,0.9808130236546091,0.0028185163314696864,-1.993302164171921,0.006504706649852254,0.5540403132550944,0.01857312588169835
1.5,6.91,0.0021932428322482345,0.9999048233559749,-0.9999048233559749,-1.4442037583753922,1.0009789446969033,0.004991118821371323,-0.9934557451916395,-0.8901138187590419,1.0194411599600635,0.9809295909134912,0.002797875989123088,-1.9933605685476143,0.006449078164335376,0.5540899396163502,0.018462215263160164
1.5,6.92,0.0021710033464244047,0.9999061913567964,-0.9999061913567964,-1.4442474004600951,1.0009688032057809,0.004948363308515021,-0.9935122907700294,-0.890108056309207,1.0193207099510635,0.9810455043614379,0.002777359962090616,-1.9934184821268257,0.006393900586766921,0.5541393441508882,0.018351906745282642
1.5,6.93,0.002148987037291189,0.9999075397002264,-0.9999075397002264,-1.4442905999729405,1.000958766629801,0.0049059794397279845,-0.9935683361338361,-0.8901020565719104,1.0192010142728885,0.9811607190299092,0.0027569924024367955,-1.9934758758340625,0.0063392035663902835,0.5541885434010301,0.01824224764308746
1.5,6.94,0.0021271916807611415,0.9999088686724605,-0.9999088686724605,-1.4443333613978027,1.0009488338760024,0.004863938574585785,-0.993623919971745,-0.8900958396899907,1.0190820164245775,0.9812752888216728,0.0027367468938246436,-1.9935327886442056,0.006284948700715498,0.5542375217078119,0.0181331825485751
