z,F_chapman,G_chapman,H_chapman,T_chapman,F_sutherland,G_sutherland,H_sutherland,T_sutherland,dF_suth_minus_chap,dG_suth_minus_chap,dH_suth_minus_chap,dT_suth_minus_chap
15.49,2.617440440203201e-06,-0.9999965976258023,-0.8845427559749671,1.00008430426723,3.548937499852773e-06,-0.9999953724746211,-0.8360045855446204,1.0001041473623706,9.314970596495721e-07,1.2251511811722793e-06,0.048538170430346694,1.9843095140581468e-05
15.5,2.5943973646565673e-06,-0.9999966275793074,-0.8845423348433745,1.000083769209097,3.516139901256358e-06,-0.999995415240318,-0.8360040568415497,1.0001034386452117,9.217425365997905e-07,1.212338989420303e-06,0.048538278001824864,1.9669436114755356e-05
15.51,2.57155040687303e-06,-0.9999966572778782,-0.8845419161718202,1.0000832374338404,3.4833423026599425e-06,-0.9999954580060149,-0.8360035281384789,1.000102729928053,9.117918957869125e-07,1.1992718633724309e-06,0.04853838803334132,1.949249421251409e-05
15.52,2.5489112977847575e-06,-0.9999966867062658,-0.8845415001150148,1.000082709146377,3.450544704063527e-06,-0.9999955007717117,-0.8360029994354081,1.0001020212108942,9.016334062787694e-07,1.1859345541154198e-06,0.04853850067960663,1.931206451710743e-05
15.530000000000001,2.5264648863170302e-06,-0.9999967158841654,-0.8845410864892982,1.0000821841003125,3.4177471054671056e-06,-0.9999955435374086,-0.8360024707323372,1.0001013124937355,8.912822191500754e-07,1.172346756783682e-06,0.048538615756960946,1.912839342299577e-05
15.540000000000001,2.5042226626006683e-06,-0.9999967447966406,-0.884540675446989,1.000081662497242,3.38494950687069e-06,-0.9999955863031054,-0.8360019420292665,1.0001006037765767,8.807268442700217e-07,1.1584935352138004e-06,0.048538733417722524,1.8941279334772076e-05
15.55,2.482169773013833e-06,-0.9999967734629998,-0.8845402668069742,1.0000811440944117,3.3521519082742747e-06,-0.9999956290688022,-0.8360014133261957,1.000099895059418,8.699821352604417e-07,1.1443941975164407e-06,0.048538853480778466,1.8750965006253395e-05
15.56,2.460317481250063e-06,-0.9999968018686015,-0.8845398607199415,1.0000806290909943,3.3193543096778594e-06,-0.9999956718344991,-0.8360008846231249,1.0000991863422592,8.590368284277965e-07,1.130034102403421e-06,0.048538976096816566,1.855725126498342e-05
15.57,2.4386512131278965e-06,-0.9999968300323908,-0.8845394570074839,1.0000801172480103,3.286556711081444e-06,-0.999995714600196,-0.8360003559200542,1.0000984776251005,8.479054979535477e-07,1.115432194831456e-06,0.04853910108742976,1.8360377090242963e-05
15.58,2.417182017999518e-06,-0.9999968579400046,-0.884539055818005,1.0000796087615016,3.253759112485029e-06,-0.9999957573658927,-0.8359998272169833,1.0000977689079418,8.365770944855107e-07,1.100574111845276e-06,0.04853922860102167,1.81601464401826e-05
15.59,2.3958955961956078e-06,-0.9999968856100308,-0.8845386569752807,1.0000791033956584,3.220961513888613e-06,-0.9999958001315896,-0.8359992985139125,1.000097060190783,8.250659176930054e-07,1.0854784411318263e-06,0.04853935846136814,1.7956795124618452e-05
15.6,2.374802779086024e-06,-0.99999691302839,-0.8845382606254101,1.0000786013433607,3.188163915292198e-06,-0.9999958428972865,-0.8359987698108418,1.0000963514736243,8.133611362061739e-07,1.0701311035088423e-06,0.04853949081456832,1.775013026361627e-05
15.610000000000001,2.3538895472637435e-06,-0.9999969402133061,-0.8845378665943611,1.000078102371993,3.1647608284280663e-06,-0.9999958734130967,-0.8359983496687259,1.0000957950229907,8.108712811643227e-07,1.0668002093927598e-06,0.048539516925635184,1.76926509978248e-05
15.620000000000001,2.3331665106932925e-06,-0.9999969671509871,-0.8845374750264358,1.0000776066718366,3.141357741563939e-06,-0.9999959039289069,-0.83599792952661,1.0000952385723572,8.081912308706464e-07,1.0632220801554126e-06,0.048539545499825754,1.7631900520509447e-05
15.63,2.31261992400374e-06,-0.9999969938593007,-0.8845370857504125,1.0000771140141558,3.1179546546998115e-06,-0.9999959344447171,-0.8359975093844941,1.0000946821217236,8.053347306960715e-07,1.059414583615137e-06,0.048539576365918324,1.7568107567811353e-05
15.64,2.2922601893505975e-06,-0.9999970203247253,-0.8845366989086813,1.0000766245865382,3.094551567835684e-06,-0.9999959649605275,-0.8359970892423783,1.00009412567109,8.022913784850867e-07,1.0553641978106043e-06,0.048539609666302996,1.750108455178534e-05
15.65,2.2720738186860085e-06,-0.9999970465647939,-0.8845363143321104,1.0000761381632688,3.0711484809715568e-06,-0.9999959954763377,-0.8359966691002624,1.0000935692204564,7.990746622855482e-07,1.051088456271998e-06,0.04853964523184806,1.7431057187655696e-05
15.66,2.2520710172102414e-06,-0.9999970725662408,-0.8845359321608794,1.0000756549289331,3.0477453941074294e-06,-0.9999960259921479,-0.8359962489581465,1.0000930127698229,7.95674376897188e-07,1.0465740929443967e-06,0.04853968320273294,1.735784088974235e-05
15.67,2.2322385501581418e-06,-0.9999970983462699,-0.8845355522279337,1.0000751746608114,3.024342307243302e-06,-0.9999960565079581,-0.8359958288160306,1.0000924563191893,7.921037570851602e-07,1.0418383118437902e-06,0.048539723411903046,1.7281658377887865e-05
15.68,2.2125864220256446e-06,-0.9999971238918764,-0.8845351746713876,1.0000746975406412,3.0009392203791746e-06,-0.9999960870237683,-0.8359954086739148,1.0000918998685557,7.8835279835353e-07,1.0368681081507347e-06,0.048539765997472895,1.720232791457832e-05
15.69,2.1931016567009794e-06,-0.9999971492199282,-0.8845347993267961,1.0000742233493152,2.9775361335150472e-06,-0.9999961175395785,-0.8359949885317989,1.0000913434179222,7.844344768140679e-07,1.0316803497056881e-06,0.04853981079499725,1.7120068606990557e-05
15.700000000000001,2.1737940550212673e-06,-0.9999971743176848,-0.8845344263307817,1.000073752266363,2.9541330466509156e-06,-0.9999961480553887,-0.835994568389683,1.0000907869672886,7.803389916296484e-07,1.026262296033309e-06,0.04853985794109872,1.7034700925622204e-05
15.71,2.1546508934318076e-06,-0.999997199201686,-0.8845340555210027,1.0000732840757012,2.9307299597867883e-06,-0.9999961785711989,-0.8359941482475672,1.000090230516655,7.760790663549807e-07,1.0206304870141736e-06,0.04853990727343549,1.6946440953846675e-05
15.72,2.1356817819657125e-06,-0.9999972238594393,-0.8845336870319916,1.0000728189540087,2.907326872922661e-06,-0.9999962090870093,-0.8359937281054514,1.0000896740660215,7.716450909569484e-07,1.014772430085742e-06,0.04853995892654028,1.6855112012770235e-05
15.73,2.116874234130696e-06,-0.9999972483071763,-0.8845333207033854,1.0000723566880458,2.8839237860585335e-06,-0.9999962396028195,-0.8359933079633355,1.0000891176153879,7.670495519278377e-07,1.0087043568196563e-06,0.04854001274004993,1.6760927342041043e-05
15.74,2.0982376788784115e-06,-0.9999972725326401,-0.8845329566676241,1.0000718974516618,2.860520699194406e-06,-0.9999962701186297,-0.8359928878212196,1.0000885611647543,7.622830203159947e-07,1.0024140104647472e-06,0.048540068846404494,1.666371309250181e-05
15.75,2.0797598635211825e-06,-0.9999972965517581,-0.8845325947665514,1.0000714410347105,2.8371176123302787e-06,-0.9999963006344399,-0.8359924676791037,1.0000880047141207,7.573577488090962e-07,9.959173181695036e-07,0.048540127087447704,1.6563679410275256e-05
15.76,2.0614500321172316e-06,-0.999997320352514,-0.8845322351312136,1.000070987608992,2.8137145254661514e-06,-0.9999963311502501,-0.8359920475369879,1.0000874482634872,7.522644933489198e-07,9.892022638791076e-07,0.04854018759422574,1.6460654495231708e-05
15.77,2.043296170781386e-06,-0.9999973439505248,-0.8845318776057908,1.0000705369676128,2.790311438602024e-06,-0.9999963616660603,-0.835991627394872,1.0000868918128536,7.470152678206379e-07,9.822844644347128e-07,0.04854025021091879,1.6354845240762472e-05
15.780000000000001,2.0253073361597477e-06,-0.9999973673340175,-0.8845315223194005,1.0000700892797136,2.7669083517378924e-06,-0.9999963921818705,-0.8359912072527561,1.00008633536222,7.416010155781447e-07,9.75152146920344e-07,0.04854031506664436,1.624608250638815e-05
15.790000000000001,2.007471747212786e-06,-0.9999973905183063,-0.8845311691180866,1.000069644341103,2.743505264873765e-06,-0.9999964226976807,-0.8359907871106402,1.0000857789115865,7.360335176609789e-07,9.678206255303579e-07,0.04854038200744637,1.6134570483439248e-05
15.8,1.989798285314113e-06,-0.9999974134918466,-0.8845308181289779,1.0000692023182247,2.7201021780096376e-06,-0.9999964532134911,-0.8359903669685244,1.0000852224609529,7.303038926955248e-07,9.602783554996108e-07,0.04854045116045358,1.6020142728168096e-05
15.81,1.972275387917004e-06,-0.9999974362696683,-0.8845304692000302,1.0000687630096081,2.6966990911455102e-06,-0.9999964837293013,-0.8359899468264085,1.0000846660103195,7.244237032285061e-07,9.525403670274102e-07,0.04854052237362172,1.5903000711414705e-05
15.82,1.95491176981583e-06,-0.9999974588404434,-0.8845301224567841,1.0000683265794754,2.673296004281383e-06,-0.9999965142451115,-0.8359895266842926,1.000084109559686,7.18384234465553e-07,9.445953319531242e-07,0.04854059577249148,1.5782980210543585e-05
15.83,1.937696084386406e-06,-0.999997481218921,-0.8845297777496578,1.000067892829692,2.6498929174172555e-06,-0.9999965447609217,-0.8359891065421767,1.0000835531090524,7.121968330308493e-07,9.36457999256568e-07,0.04854067120748107,1.56602793603966e-05
15.84,1.9206368760078205e-06,-0.9999975033939945,-0.8845294352025682,1.0000674619222085,2.626489830553128e-06,-0.9999965752767319,-0.8359886864000609,1.0000829966584188,7.058529545453076e-07,9.281172625996703e-07,0.04854074880250736,1.553473621029866e-05
15.85,1.903723018612607e-06,-0.9999975253801267,-0.8845290946677168,1.0000670336614712,2.6030867436890007e-06,-0.9999966057925421,-0.835988266257945,1.0000824402077853,6.993637250763937e-07,9.195875845247059e-07,0.04854082840977181,1.5406546314045144e-05
15.860000000000001,1.8869628840496862e-06,-0.9999975471664349,-0.8845287562671451,1.0000666082068685,2.579683656824869e-06,-0.9999966363083523,-0.8359878461158291,1.0000818837571517,6.927207727751829e-07,9.108580825145651e-07,0.04854091015131601,1.5275550283133654e-05
15.870000000000001,1.8703455609991846e-06,-0.999997568767103,-0.88452841985483,1.000066185365403,2.5562805699607417e-06,-0.9999966668241626,-0.8359874259737132,1.000081327306518,6.859350089615571e-07,9.019429404455437e-07,0.04854099388111677,1.5141941115182078e-05
15.88,1.8538792602307808e-06,-0.9999975901714576,-0.8845280855510194,1.000065765294024,2.5328774830966144e-06,-0.9999966973399729,-0.8359870058315974,1.0000807708558845,6.789982228658336e-07,8.928314847445051e-07,0.04854107971942201,1.500556186062596e-05
15.89,1.8375532718888967e-06,-0.9999976113934206,-0.884527753211967,1.000065347802823,2.509474396232487e-06,-0.9999967278557831,-0.8359865856894815,1.000080214405251,6.719211243435903e-07,8.83537637497156e-07,0.048541167522485495,1.4866602427998643e-05
15.9,1.8213756534215585e-06,-0.999997632422518,-0.8845274229566247,1.0000649330468923,2.4860713093683596e-06,-0.9999967583715933,-0.8359861655473656,1.0000796579546174,6.646956559468011e-07,8.740509247484596e-07,0.048541257409259075,1.4724907725138792e-05
15.91,1.8053358944689846e-06,-0.9999976532724124,-0.8845270946430955,1.000064520838924,2.4626682225042322e-06,-0.9999967888874035,-0.8359857454052498,1.0000791015039838,6.573323280352476e-07,8.64385008902957e-07,0.0485413492378457,1.4580665059771292e-05
15.92,1.789441895330487e-06,-0.9999976739328341,-0.8845267683885335,1.0000641113315762,2.439265135640105e-06,-0.9999968194032137,-0.835985325263134,1.0000785450533503,6.498232403096178e-07,8.545296203976704e-07,0.04854144312539954,1.4433721774009811e-05
15.93,1.773683349423773e-06,-0.9999976944171808,-0.8845264440527295,1.0000637043399707,2.4158620487759775e-06,-0.9999968499190239,-0.8359849051210181,1.0000779886027167,6.421786993522044e-07,8.444981568489496e-07,0.048541538931711425,1.4284262745967169e-05
15.94,1.75806799815722e-06,-0.9999977147153891,-0.8845261217510569,1.0000633000143455,2.39245896191185e-06,-0.9999968804348341,-0.8359844849789022,1.0000774321520831,6.343909637546301e-07,8.342805549732546e-07,0.04854163677215473,1.4132137737599137e-05
15.950000000000001,1.7425857330715572e-06,-0.9999977348405994,-0.8845258013451891,1.000062898172458,2.3690558750477185e-06,-0.9999969109506444,-0.8359840648367863,1.0000768757014495,6.264701419761613e-07,8.238899550372381e-07,0.048541736508402766,1.397752899157112e-05
15.96,1.7272441474729977e-06,-0.9999977547829411,-0.884525482949297,1.0000624989628075,2.345652788183591e-06,-0.9999969414664547,-0.8359836446946705,1.000076319250816,6.184086407105934e-07,8.133164863810549e-07,0.048541838254626546,1.3820288008448145e-05
15.97,1.7120333187433502e-06,-0.9999977745553124,-0.884525166427119,1.0000621022059613,2.3222497013194637e-06,-0.9999969719822649,-0.8359832245525546,1.0000757628001824,6.102163825761135e-07,8.02573047464783e-07,0.0485419418745644,1.3660594221143185e-05
