r,Mr,Umax,z_Umax,Vmin,z_Vmin,Wmin,z_Wmin,Tmin,Tmax
1.1449999999999999e+01,1.7174999999999999e-01,1.7707465359447705e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5407273193027577e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.1925000000000001e+01,1.7887500000000001e-01,1.7707424547826206e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5407795662275598e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.2400000000000000e+01,1.8600000000000000e-01,1.7707398142750763e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5408199967517551e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.2875000000000000e+01,1.9312499999999999e-01,1.7707383472362864e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5408509479354777e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.3350000000000000e+01,2.0024999999999998e-01,1.7707378483100306e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5408742105614477e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.3824999999999999e+01,2.0737499999999998e-01,1.7707381580198803e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5408911708641488e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.4300000000000001e+01,2.1450000000000000e-01,1.7707391513280452e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5409029121813118e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.4775000000000000e+01,2.2162499999999999e-01,1.7707407293211291e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5409102887003818e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.5250000000000000e+01,2.2874999999999998e-01,1.7707428130963326e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5409139795496458e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.5725000000000000e+01,2.3587499999999997e-01,1.7707453392167238e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5409145288899535e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.6199999999999999e+01,2.4299999999999999e-01,1.7707482562988994e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5409123759273220e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.6675000000000001e+01,2.5012499999999999e-01,1.7707515224269535e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5409078775923830e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.7149999999999999e+01,2.5724999999999998e-01,1.7707551031755869e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5409013258310318e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.7625000000000000e+01,2.6437499999999997e-01,1.7707589700865473e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5408929608969375e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.8100000000000001e+01,2.7150000000000002e-01,1.7707630994854490e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5408829816508347e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.8574999999999999e+01,2.7862499999999996e-01,1.7707674715563060e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5408715535998414e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.9050000000000001e+01,2.8575000000000000e-01,1.7707720696127160e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5408588152163889e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
1.9524999999999999e+01,2.9287499999999994e-01,1.7707768795202267e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5408448829376360e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
2.0000000000000000e+01,2.9999999999999999e-01,1.7707818892357319e-01,1.2500000000000000e+00,-1.0000000000000000e+00,2.0000000000000000e+01,-8.5408298551457984e-01,6.5000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00
