r,z,U,V,W,T,rho,mu,kappa,Mr,u_physical,v_rotating_physical,v_inertial_physical
2.0000000000000000e+01,1.1750000000000000e+01,7.9884977488396943e-05,-9.9989633361254548e-01,-8.4882755516168207e-01,1.0009971548996996e+00,9.9900383842769303e-01,1.0007921286103740e+00,1.3899890675144084e+00,2.9999999999999999e-01,1.5976995497679388e-03,-1.9997926672250909e+01,2.0733277490903035e-03
2.0000000000000000e+01,1.2000000000000000e+01,6.4568221931844805e-05,-9.9991621245724682e-01,-8.4873948886222095e-01,1.0008549101001760e+00,9.9914582014680786e-01,1.0006791534895267e+00,1.3898321576243426e+00,2.9999999999999999e-01,1.2913644386368960e-03,-1.9998324249144936e+01,1.6757508550635514e-03
2.0000000000000000e+01,1.2250000000000000e+01,5.2184170983854578e-05,-9.9993228427316794e-01,-8.4866226051311788e-01,1.0007328126835922e+00,9.9926772393759422e-01,1.0005821740475764e+00,1.3896974639549673e+00,2.9999999999999999e-01,1.0436834196770916e-03,-1.9998645685463359e+01,1.3543145366412546e-03
2.0000000000000000e+01,1.2500000000000000e+01,4.2171749033230738e-05,-9.9994527769304520e-01,-8.4859465038301229e-01,1.0006280126184908e+00,9.9937238153382557e-01,1.0004989291249375e+00,1.3895818460068579e+00,2.9999999999999999e-01,8.4343498066461473e-04,-1.9998905553860904e+01,1.0944461390960392e-03
2.0000000000000000e+01,1.2750000000000000e+01,3.4077082133171323e-05,-9.9995578203513402e-01,-8.4853555047308249e-01,1.0005380620624855e+00,9.9946222729260659e-01,1.0004274762359491e+00,1.3894826058832626e+00,2.9999999999999999e-01,6.8154164266342652e-04,-1.9999115640702680e+01,8.8435929731955909e-04
2.0000000000000000e+01,1.3000000000000000e+01,2.7533060150715062e-05,-9.9996427389753184e-01,-8.4848396052001862e-01,1.0004608588692694e+00,9.9953935342379086e-01,1.0003661469162313e+00,1.3893974262725435e+00,2.9999999999999999e-01,5.5066120301430126e-04,-1.9999285477950636e+01,7.1452204936317543e-04
2.0000000000000000e+01,1.3250000000000000e+01,2.2242781270475667e-05,-9.9997113868878740e-01,-8.4843898226722902e-01,1.0003945979595703e+00,9.9960555768656179e-01,1.0003135082568140e+00,1.3893243170233529e+00,2.9999999999999999e-01,4.4485562540951332e-04,-1.9999422773775748e+01,5.7722622425204761e-04
2.0000000000000000e+01,1.3500000000000000e+01,1.7966145837196130e-05,-9.9997668805499640e-01,-8.4839981269733389e-01,1.0003377294808251e+00,9.9966238454186829e-01,1.0002683297868422e+00,1.3892615691483921e+00,2.9999999999999999e-01,3.5932291674392261e-04,-1.9999533761099929e+01,4.6623890007202462e-04
2.0000000000000000e+01,1.3750000000000000e+01,1.4509003493125741e-05,-9.9998117398271613e-01,-8.4836573673327065e-01,1.0002889228219869e+00,9.9971116063029886e-01,1.0002295549750067e+00,1.3892077152430649e+00,2.9999999999999999e-01,2.9018006986251482e-04,-1.9999623479654321e+01,3.7652034567736692e-04
2.0000000000000000e+01,1.4000000000000000e+01,1.1714369401789487e-05,-9.9998480020986003e-01,-8.4833611977309387e-01,1.0002470356743911e+00,9.9975302533716126e-01,1.0001962767156403e+00,1.3891614954383893e+00,2.9999999999999999e-01,2.3428738803578974e-04,-1.9999696004197201e+01,3.0399580279949490e-04
2.0000000000000000e+01,1.4250000000000000e+01,9.4553165130512201e-06,-9.9998773145710429e-01,-8.4831040031527150e-01,1.0002110874385781e+00,9.9978895710992499e-01,1.0001677162497129e+00,1.3891218281246014e+00,2.9999999999999999e-01,1.8910633026102439e-04,-1.9999754629142085e+01,2.4537085791420665e-04
2.0000000000000000e+01,1.4500000000000000e+01,7.6292250358239479e-06,-9.9999010089516072e-01,-8.4828808284941803e-01,1.0001802363720633e+00,9.9981979610723259e-01,1.0001432050448020e+00,1.3890877847844474e+00,2.9999999999999999e-01,1.5258450071647896e-04,-1.9999802017903214e+01,1.9798209678567602e-04
2.0000000000000000e+01,1.4750000000000000e+01,6.1531306283012440e-06,-9.9999201618440070e-01,-8.4826873112604895e-01,1.0001537599557782e+00,9.9984626368271123e-01,1.0001221692225959e+00,1.3890585683647165e+00,2.9999999999999999e-01,1.2306261256602488e-04,-1.9999840323688012e+01,1.5967631198599008e-04
2.0000000000000000e+01,1.5000000000000000e+01,4.9599618363864893e-06,-9.9999356435933040e-01,-8.4825196187342822e-01,1.0001310380287407e+00,9.9986897913997452e-01,1.0001041161786350e+00,1.3890334946925487e+00,2.9999999999999999e-01,9.9199236727729782e-05,-1.9999871287186608e+01,1.2871281339199570e-04
2.0000000000000000e+01,1.5250000000000000e+01,3.9954971022176646e-06,-9.9999481577854121e-01,-8.4823743899626702e-01,1.0001115383027648e+00,9.9988847413664073e-01,1.0000886230877712e+00,1.3890119765107936e+00,2.9999999999999999e-01,7.9909942044353288e-05,-1.9999896315570822e+01,1.0368442917574328e-04
2.0000000000000000e+01,1.5500000000000000e+01,3.2159039426941783e-06,-9.9999582731871794e-01,-8.4822486826704890e-01,1.0000948039228792e+00,9.9990520506405256e-01,1.0000753270311176e+00,1.3889935097654411e+00,2.9999999999999999e-01,6.4318078853883563e-05,-1.9999916546374358e+01,8.3453625641105589e-05
