r,z,U,V,W,T,rho,mu,kappa,Mr
8.5999999999999996e+00,1.5750000000000000e+01,2.5724593872980570e-06,-9.9999666301415802e-01,-8.4820449603344295e-01,1.0000793451334333e+00,9.9992066116171741e-01,1.0000630443838670e+00,1.3889764505331486e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.6000000000000000e+01,2.0657214175791410e-06,-9.9999732035522315e-01,-8.4819521555848343e-01,1.0000671889650792e+00,9.9993281554897451e-01,1.0000533857433280e+00,1.3889630357546223e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.6250000000000000e+01,1.6561215749539167e-06,-9.9999785168776101e-01,-8.4818719307282975e-01,1.0000567568235650e+00,9.9994324639758925e-01,1.0000450968785004e+00,1.3889515234423617e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.6500000000000000e+01,1.3250402739195050e-06,-9.9999828116557954e-01,-8.4818026038457872e-01,1.0000478042261252e+00,9.9995219805900959e-01,1.0000379835541870e+00,1.3889416438252598e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.6750000000000000e+01,1.0574266139592886e-06,-9.9999862831299080e-01,-8.4817427119113187e-01,1.0000401213534258e+00,9.9995988025623261e-01,1.0000318790713496e+00,1.3889331653768746e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.7000000000000000e+01,8.4111450217251389e-07,-9.9999890891201093e-01,-8.4816909835244880e-01,1.0000335281366100e+00,9.9996647298748831e-01,1.0000266403651235e+00,1.3889258893960048e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.7250000000000000e+01,6.6626979590291223e-07,-9.9999913571957488e-01,-8.4816463147835286e-01,1.0000278700402130e+00,9.9997213073650448e-01,1.0000221446553001e+00,1.3889196453545836e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.7500000000000000e+01,5.2494337442211532e-07,-9.9999931904732220e-01,-8.4816077479934149e-01,1.0000230144425060e+00,9.9997698608714636e-01,1.0000182865711740e+00,1.3889142869044084e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.7750000000000000e+01,4.1070985051276044e-07,-9.9999946723027844e-01,-8.4815744529199144e-01,1.0000188475287202e+00,9.9998115282650246e-01,1.0000149756836654e+00,1.3889096884495353e+00,1.2900000000000000e-01
8.5999999999999996e+00,1.8000000000000000e+01,3.1837551665552315e-07,-9.9999958700572000e-01,-8.4815457103196956e-01,1.0000152716245483e+00,9.9998472860867071e-01,1.0000121343870925e+00,1.3889057422042952e+00,1.2900000000000000e-01
