Tw,z_physical,F_c,G_c,H_c,T_c,rho_c
1.4,30.199747320920967,4.877683009555811e-12,-0.9999999999936596,-0.8844741146440145,1.000000005057133,0.9999999949428671
1.4,30.203747320941144,4.860455354177021e-12,-0.999999999993682,-0.8844741146326462,1.000000005044236,0.9999999949557641
1.4,30.207747320961268,4.843288538944471e-12,-0.9999999999937044,-0.8844741146213074,1.000000005031372,0.999999994968628
1.4,30.211747320981342,4.8261823494685365e-12,-0.9999999999937266,-0.8844741146099968,1.0000000050185405,0.9999999949814595
1.4,30.215747321001366,4.809136573251179e-12,-0.9999999999937487,-0.8844741145987152,1.0000000050057416,0.9999999949942584
1.4,30.219747321021337,4.792150997826454e-12,-0.9999999999937708,-0.8844741145874624,1.0000000049929756,0.9999999950070244
1.4,30.22374732104126,4.775225410728356e-12,-0.9999999999937926,-0.8844741145762378,1.0000000049802418,0.9999999950197582
1.4,30.22774732106113,4.758359599490922e-12,-0.9999999999938146,-0.8844741145650422,1.0000000049675406,0.9999999950324594
1.4,30.23174732108095,4.741553351648191e-12,-0.9999999999938364,-0.8844741145538747,1.0000000049548716,0.9999999950451284
1.4,30.235747321100717,4.72480645552117e-12,-0.9999999999938584,-0.8844741145427357,1.0000000049422348,0.9999999950577652
1.4,30.239747321120436,4.7081187027387e-12,-0.99999999999388,-0.884474114531625,1.0000000049296303,0.9999999950703697
1.4,30.243747321140106,4.691489885797216e-12,-0.9999999999939015,-0.8844741145205426,1.0000000049170579,0.9999999950829421
1.4,30.247747321159725,4.674919797193103e-12,-0.9999999999939232,-0.8844741145094883,1.0000000049045175,0.9999999950954825
1.4,30.251747321179295,4.658408229422806e-12,-0.9999999999939446,-0.8844741144984621,1.0000000048920088,0.9999999951079912
1.4,30.25574732119881,4.641954974982707e-12,-0.9999999999939662,-0.8844741144874639,1.000000004879532,0.9999999951204681
1.4,30.259747321218278,4.625559826391751e-12,-0.9999999999939874,-0.8844741144764935,1.0000000048670867,0.9999999951329133
1.4,30.263747321237698,4.609222577868258e-12,-0.9999999999940086,-0.8844741144655511,1.0000000048546733,0.9999999951453267
