z_over_h,F_mode_abs,G_mode_abs,H_mode_abs,T_mode_abs
0.8247240241650917,0.04451240510846823,0.31131880154059294,0.9499861364617855,0.0001387498304128363
0.8345653031794289,0.05651595592368963,0.30621253008994503,0.9185310082758399,0.00012884239428748422
0.8441772878468771,0.06786965714720128,0.29953113403499854,0.8806991145457366,0.00011960865188183222
0.8535533905932737,0.07838547271004628,0.29137246684407003,0.837302214481671,0.0001109786639701135
0.8626871855061438,0.08789607188765033,0.2818575425848204,0.7892343678389251,0.00010289100616222782
0.871572412738697,0.09625816041734571,0.27112657173259863,0.7374458689579614,9.52920618494867e-05
0.8802029828000155,0.10335505831255838,0.2593346535159227,0.6829167508890401,8.813533656148344e-05
0.8885729807284855,0.10909848899714669,0.24664729482393855,0.6266307300149637,8.138080091232875e-05
0.8966766701456177,0.11342957373818745,0.23323592575663404,0.5695503961500245,7.499426668411207e-05
0.9045084971874737,0.11631905246070369,0.21927357469387337,0.5125943607991346,6.894679824692987e-05
0.9120630943110077,0.11776677577585735,0.20493085167765857,0.4566169633892307,6.321415965929983e-05
0.919335283972712,0.11780053272050722,0.19037236872763366,0.4023910084963434,5.777629656124308e-05
0.9263200821770461,0.1164742938522752,0.1757537001555687,0.35059387303846473,5.261685133594628e-05
0.9330127018922194,0.11386595991544884,0.16121895633024305,0.30179718731165095,4.7722709878020585e-05
0.9394085563309826,0.11007471246817974,0.1468990120499473,0.25646016314873027,4.308357854719882e-05
0.9455032620941839,0.10521806511601398,0.1329103974271836,0.2149265209897397,3.869159030933335e-05
0.9512926421749301,0.09942871282776444,0.11935482679320637,0.17742485889566906,3.454093961170947e-05
0.9567727288213005,0.0928512728583222,0.1063193115305612,0.14407221313119797,3.062754598708499e-05
0.9619397662556434,0.08563900457268303,0.09387677775781235,0.11488048356314239,2.694874673351873e-05
0.9667902132486008,0.0779505874201063,0.08208709100250623,0.08976533861350608,2.3503019142282657e-05
0.9713207455460892,0.06994702678279496,0.07099837855317406,0.06855717398041418,2.028973270118366e-05
