branch, pressure_gradient, z                   , H                      , F                      , G                      , T
     1,    0.001542390341, 0.846               , -0.11633206742010145   , -0.018381658208252917  , 0.030790445717877882   , 1.0001786098823624
     1,    0.001542390341, 0.847               , -0.11517016158363172   , -0.018360857266160605  , 0.03061305951001097    , 1.0001773160118672
     1,    0.001542390341, 0.848               , -0.11400960423637357   , -0.018339014308232378  , 0.030435196052044353   , 1.0001760255297791
     1,    0.001542390341, 0.849               , -0.11285046146408236   , -0.018316123553088412  , 0.030256858401270837   , 1.0001747383932127
     1,    0.001542390341, 0.85                , -0.1116927997163127    , -0.01829217923291117   , 0.03007804964222664    , 1.0001734545596122
     1,    0.001542390341, 0.851               , -0.11053668580674371   , -0.018267175593798646  , 0.029898772886511743   , 1.0001721739867466
     1,    0.001542390341, 0.852               , -0.10938218691582319   , -0.018241106896221517  , 0.02971903127277098    , 1.0001708966327132
     1,    0.001542390341, 0.853               , -0.10822937058629253   , -0.018213967415203938  , 0.029538827966145962   , 1.0001696224559293
     1,    0.001542390341, 0.854               , -0.10707830472108536   , -0.018185751440589103  , 0.029358166157904642   , 1.0001683514151307
     1,    0.001542390341, 0.855               , -0.1059290575823991    , -0.018156453277349847  , 0.02917704906515555    , 1.000167083469368
     1,    0.001542390341, 0.856               , -0.10478169779190627   , -0.0181260672459553    , 0.028995479930636583   , 1.000165818578006
     1,    0.001542390341, 0.857               , -0.10363629433325046   , -0.018094587682852166  , 0.02881346202265381    , 1.0001645567007242
     1,    0.001542390341, 0.858               , -0.10249291654751512   , -0.018062008940638506  , 0.028630998634519508   , 1.0001632977975115
     1,    0.001542390341, 0.859               , -0.10135163413103764   , -0.01802832538833246   , 0.028448093084158785   , 1.0001620418286616
     1,    0.001542390341, 0.86                , -0.10021251713438152   , -0.017993531411691153  , 0.02826474871379621    , 1.0001607887547734
     1,    0.001542390341, 0.861               , -0.09907563596242945   , -0.017957621413591078  , 0.028080968889711167   , 1.0001595385367474
     1,    0.001542390341, 0.862               , -0.09794106137672327   , -0.017920589814533976  , 0.027896757002131685   , 1.0001582911357887
     1,    0.001542390341, 0.863               , -0.0968088644908789    , -0.017882431052813418  , 0.0277121164646585     , 1.0001570465133989
     1,    0.001542390341, 0.864               , -0.09567911676831503   , -0.01784313958478671   , 0.027527050713847947   , 1.0001558046313754
     1,    0.001542390341, 0.865               , -0.09455189002112296   , -0.017802709885202262  , 0.027341563208869525   , 1.0001545654518098
     1,    0.001542390341, 0.866               , -0.09342725641003732   , -0.017761136447593976  , 0.027155657431226075   , 1.0001533289370848
     1,    0.001542390341, 0.867               , -0.09230528844661204   , -0.017718413784812388  , 0.02696933688459972    , 1.0001520950498763
     1,    0.001542390341, 0.868               , -0.09118605898858372   , -0.017674536429183787  , 0.026782605094262057   , 1.000150863753149
     1,    0.001542390341, 0.869               , -0.0900696412375139    , -0.017629498932785346  , 0.02659546560663235    , 1.000149635010152
     1,    0.001542390341, 0.87                , -0.08895610873755397   , -0.017583295867781144  , 0.026407921988904768   , 1.0001484087844197
     1,    0.001542390341, 0.871               , -0.08784553537528897   , -0.017535921826830926  , 0.02621997782873145    , 1.0001471850397676
     1,    0.001542390341, 0.872               , -0.08673799538174144   , -0.017487371423647112  , 0.026031636734017656   , 1.0001459637402956
     1,    0.001542390341, 0.873               , -0.08563356332768576   , -0.01743763929314627   , 0.025842902332318157   , 1.000144744850383
     1,    0.001542390341, 0.874               , -0.08453231412120282   , -0.017386720091727544  , 0.025653778270369913   , 1.000143528334686
     1,    0.001542390341, 0.875               , -0.08343432300633731   , -0.01733460849761753   , 0.025464268213687583   , 1.000142314158135
     1,    0.001542390341, 0.876               , -0.08233966556280996   , -0.01728129921129379   , 0.0252743758462076     , 1.0001411022859354
     1,    0.001542390341, 0.877               , -0.08124841770784104   , -0.017226786956068444  , 0.0250841048700295     , 1.0001398926835683
     1,    0.001542390341, 0.878               , -0.080160655691418     , -0.017171066478231745  , 0.024893459004798717   , 1.000138685316785
     1,    0.001542390341, 0.879               , -0.0790764560937617    , -0.017114132547333936  , 0.024702441987212862   , 1.0001374801516068
     1,    0.001542390341, 0.88                , -0.07799589582387302   , -0.01705597995653925   , 0.024511057570584215   , 1.0001362771543219
     1,    0.001542390341, 0.881               , -0.07691905211910892   , -0.016996603523064556  , 0.02431930952444277    , 1.0001350762914851
     1,    0.001542390341, 0.882               , -0.07584600254681705   , -0.016935998088790264  , 0.024127201634220823   , 1.00013387752992
     1,    0.001542390341, 0.883               , -0.0747768249995592    , -0.016874158520395862  , 0.023934737700622315   , 1.0001326808367146
     1,    0.001542390341, 0.884               , -0.07371159769248796   , -0.016811079709645307  , 0.023741921539101953   , 1.000131486179218
     1,    0.001542390341, 0.885               , -0.07265039916177987   , -0.016746756573750417  , 0.023548756979393265   , 1.0001302935250405
     1,    0.001542390341, 0.886               , -0.07159330826407019   , -0.016681184055825127  , 0.023355247865068835   , 1.0001291028420531
     1,    0.001542390341, 0.887               , -0.07054040417789006   , -0.016614357125524462  , 0.023161398053164865   , 1.0001279140983883
     1,    0.001542390341, 0.888               , -0.06949176639884845   , -0.016546270779171906  , 0.022967211413537518   , 1.0001267272624372
     1,    0.001542390341, 0.889               , -0.06844747473691765   , -0.016476920040048457  , 0.022772691828314054   , 1.0001255423028472
     1,    0.001542390341, 0.89                , -0.06740760931475027   , -0.016406299958765743  , 0.022577843191385182   , 1.0001243591885198
     1,    0.001542390341, 0.891               , -0.0663722505669679    , -0.016334405613736367  , 0.022382669407920486   , 1.0001231778886126
     1,    0.001542390341, 0.892               , -0.06534147924139132   , -0.01626123211184181   , 0.022187174393929882   , 1.0001219983725393
     1,    0.001542390341, 0.893               , -0.06431537639418383   , -0.016186774588551438  , 0.021991362075607347   , 1.0001208206099668
     1,    0.001542390341, 0.894               , -0.06329402338704447   , -0.016111028208215458  , 0.02179523638875342    , 1.0001196445708131
     1,    0.001542390341, 0.895               , -0.062277501885405685  , -0.016033988164448072  , 0.02159880127823049    , 1.0001184702252468
     1,    0.001542390341, 0.896               , -0.061265893857570364  , -0.015955649680614498  , 0.02140206069743157    , 1.0001172975436874
     1,    0.001542390341, 0.897               , -0.06025928157572646   , -0.015876008010528596  , 0.021205018607775458   , 1.0001161264968057
     1,    0.001542390341, 0.898               , -0.05925774761105366   , -0.01579505843856347   , 0.021007678978038413   , 1.0001149570555228
     1,    0.001542390341, 0.899               , -0.058261374830823734  , -0.01571279627994852   , 0.020810045783747344   , 1.000113789191006
     1,    0.001542390341, 0.9                 , -0.05727024639647505   , -0.01562921688116303   , 0.020612123006596872   , 1.00011262287467
     1,    0.001542390341, 0.901               , -0.05628444576259306   , -0.015544315620440369  , 0.020413914633869525   , 1.0001114580781765
     1,    0.001542390341, 0.902               , -0.055304056677699456  , -0.01545808790849638   , 0.020215424657861483   , 1.0001102947734364
     1,    0.001542390341, 0.903               , -0.05432916317932521   , -0.01537052918863142   , 0.020016657075202844   , 1.0001091329326055
     1,    0.001542390341, 0.904               , -0.053359849591016306  , -0.015281634937031727  , 0.019817615886220972   , 1.000107972528085
     1,    0.001542390341, 0.905               , -0.052396200520282085  , -0.015191400663173918  , 0.019618305094318167   , 1.0001068135325202
     1,    0.001542390341, 0.906               , -0.05143830085741349   , -0.015099821910346955  , 0.01941872870534148    , 1.0001056559188006
     1,    0.001542390341, 0.907               , -0.05048623577603688   , -0.015006894256412285  , 0.019218890726935896   , 1.0001044996600625
     1,    0.001542390341, 0.908               , -0.049540090728156225  , -0.01491261331389724   , 0.019018795167854003   , 1.0001033447296854
