Hinf,Tw,Fp0,Gp0,Tp0,nodes
4.500000000000e-02,1.428890558072e+00,2.885449121204e-01,3.615285150808e-01,-7.649043970138e-02,5.880000000000e+02
5.000000000000e-02,1.439953261531e+00,2.828799542866e-01,3.548500559839e-01,-7.699223522499e-02,5.840000000000e+02
5.500000000000e-02,1.451068611620e+00,2.771899012847e-01,3.481346353263e-01,-7.743142024319e-02,5.830000000000e+02
6.000000000000e-02,1.462231892050e+00,2.714772971875e-01,3.413855264767e-01,-7.780786175873e-02,5.810000000000e+02
6.500000000000e-02,1.473438725558e+00,2.657445052962e-01,3.346058577361e-01,-7.812161237109e-02,5.790000000000e+02
7.000000000000e-02,1.484685073117e+00,2.599937072084e-01,3.277986062069e-01,-7.837289868221e-02,5.760000000000e+02
7.500000000000e-02,1.495967226757e+00,2.542269058101e-01,3.209665954984e-01,-7.856210917807e-02,5.750000000000e+02
8.000000000000e-02,1.507281797686e+00,2.484459311918e-01,3.141124964526e-01,-7.868978201641e-02,5.710000000000e+02
8.500000000000e-02,1.518625701258e+00,2.426524486085e-01,3.072388301545e-01,-7.875659304208e-02,5.700000000000e+02
9.000000000000e-02,1.529996140008e+00,2.368479677312e-01,3.003479725645e-01,-7.876334425988e-02,5.670000000000e+02
9.500000000000e-02,1.541390585811e+00,2.310338525808e-01,2.934421602386e-01,-7.871095291507e-02,5.650000000000e+02
1.000000000000e-01,1.552806761925e+00,2.252113316565e-01,2.865234966714e-01,-7.860044126638e-02,5.620000000000e+02
