sample,Hinf,Tw,temporal_degree,rank_by_real_part,eigen_real,eigen_imag,positive_real_count,closest_to_zero_real,closest_to_zero_imag
upper,-0.08,1.0306077830180222,90,4,-1.3793125878790152e-05,-9.170975406795483e-06,2,-2.232213322931229e-06,0.0
upper,-0.08,1.0306077830180222,90,5,-1.3793125878790154e-05,9.170975406795483e-06,2,-2.232213322931229e-06,0.0
upper,-0.08,1.0306077830180222,90,6,-1.7503303299579213e-05,0.0,2,-2.232213322931229e-06,0.0
upper,-0.08,1.0306077830180222,90,7,-3.7694806305480725e-05,0.0,2,-2.232213322931229e-06,0.0
upper,-0.08,1.0306077830180222,90,8,-5.850731180039855e-05,0.0,2,-2.232213322931229e-06,0.0
upper,-0.08,1.0306077830180222,90,9,-6.801836288578128e-05,0.0,2,-2.232213322931229e-06,0.0
upper,-0.08,1.0306077830180222,90,10,-0.00010253845331245496,-7.75631082353105e-05,2,-2.232213322931229e-06,0.0
upper,-0.08,1.0306077830180222,90,11,-0.00010253845331245497,7.75631082353105e-05,2,-2.232213322931229e-06,0.0
upper,-0.08,1.0306077830180222,90,12,-0.00013677041464107913,0.0,2,-2.232213322931229e-06,0.0
upper,-0.05,1.0315604005761816,50,1,0.03683458926719674,0.0,2,-4.511584049965772e-06,0.0
upper,-0.05,1.0315604005761816,50,2,0.0025801154164300675,0.0,2,-4.511584049965772e-06,0.0
upper,-0.05,1.0315604005761816,50,3,-4.511584049965772e-06,0.0,2,-4.511584049965772e-06,0.0
upper,-0.05,1.0315604005761816,50,4,-2.8845401936546074e-05,1.2094863649823972e-05,2,-4.511584049965772e-06,0.0
upper,-0.05,1.0315604005761816,50,5,-2.8845401936546074e-05,-1.2094863649823972e-05,2,-4.511584049965772e-06,0.0
upper,-0.05,1.0315604005761816,50,6,-3.5034014247695495e-05,0.0,2,-4.511584049965772e-06,0.0
upper,-0.05,1.0315604005761816,50,7,-0.00010387506753127178,-3.452721262412203e-05,2,-4.511584049965772e-06,0.0
upper,-0.05,1.0315604005761816,50,8,-0.0001038750675312718,3.452721262412203e-05,2,-4.511584049965772e-06,0.0
upper,-0.05,1.0315604005761816,50,9,-0.0001135224574842893,0.0,2,-4.511584049965772e-06,0.0
upper,-0.05,1.0315604005761816,50,10,-0.00018636877591181482,0.0,2,-4.511584049965772e-06,0.0
upper,-0.05,1.0315604005761816,50,11,-0.0002544714824839034,0.0,2,-4.511584049965772e-06,0.0
upper,-0.05,1.0315604005761816,50,12,-0.00027316652295470345,0.0,2,-4.511584049965772e-06,0.0
upper,-0.05,1.0315604005761816,70,1,0.03683458443001877,0.0,2,-2.304498877959695e-06,0.0
upper,-0.05,1.0315604005761816,70,2,0.002580126001559399,0.0,2,-2.304498877959695e-06,0.0
upper,-0.05,1.0315604005761816,70,3,-2.304498877959695e-06,0.0,2,-2.304498877959695e-06,0.0
upper,-0.05,1.0315604005761816,70,4,-1.4753253700635711e-05,6.4367399823692125e-06,2,-2.304498877959695e-06,0.0
upper,-0.05,1.0315604005761816,70,5,-1.4753253700635714e-05,-6.436739982369214e-06,2,-2.304498877959695e-06,0.0
upper,-0.05,1.0315604005761816,70,6,-1.800021144840682e-05,0.0,2,-2.304498877959695e-06,0.0
upper,-0.05,1.0315604005761816,70,7,-5.495702709596045e-05,1.4608403972634114e-05,2,-2.304498877959695e-06,0.0
upper,-0.05,1.0315604005761816,70,8,-5.4957027095960454e-05,-1.4608403972634112e-05,2,-2.304498877959695e-06,0.0
upper,-0.05,1.0315604005761816,70,9,-5.949240460102539e-05,0.0,2,-2.304498877959695e-06,0.0
upper,-0.05,1.0315604005761816,70,10,-0.00012985445222405073,2.0040823952691243e-05,2,-2.304498877959695e-06,0.0
upper,-0.05,1.0315604005761816,70,11,-0.00012985445222405073,-2.0040823952691243e-05,2,-2.304498877959695e-06,0.0
upper,-0.05,1.0315604005761816,70,12,-0.00013609184283844145,0.0,2,-2.304498877959695e-06,0.0
upper,-0.05,1.0315604005761816,90,1,0.03683458429201938,0.0,2,-1.3946724168013623e-06,0.0
upper,-0.05,1.0315604005761816,90,2,0.0025801263239253365,0.0,2,-1.3946724168013623e-06,0.0
upper,-0.05,1.0315604005761816,90,3,-1.3946724168013623e-06,0.0,2,-1.3946724168013623e-06,0.0
upper,-0.05,1.0315604005761816,90,4,-8.97071261925976e-06,-3.884461339896544e-06,2,-1.3946724168013623e-06,0.0
upper,-0.05,1.0315604005761816,90,5,-8.970712619259762e-06,3.884461339896544e-06,2,-1.3946724168013623e-06,0.0
upper,-0.05,1.0315604005761816,90,6,-1.0918385193680791e-05,0.0,2,-1.3946724168013623e-06,0.0
upper,-0.05,1.0315604005761816,90,7,-3.355444631293591e-05,-8.942654592366883e-06,2,-1.3946724168013623e-06,0.0
upper,-0.05,1.0315604005761816,90,8,-3.355444631293592e-05,8.942654592366883e-06,2,-1.3946724168013623e-06,0.0
