T,mu_chapman,mu_sutherland,rho_mu_chapman,rho_mu_sutherland,nu_chapman,nu_sutherland,dmu_dT_chapman,dmu_dT_sutherland,rel_mu_sutherland_minus_chapman,rel_rho_mu_sutherland_minus_chapman
1.842,1.842,1.5683918254071907,1.0,0.8514613601559125,3.392964,2.888977742400045,1.0,0.5830851056059865,-0.1485386398440876,-0.14853863984408755
1.843,1.843,1.5689748258277652,0.9999999999999999,0.8513156949689447,3.396649,2.8916206040005714,1.0,0.5829157573337279,-0.14868430503105526,-0.14868430503105526
1.8439999999999999,1.8439999999999999,1.5695576569654133,1.0,0.8511700959682285,3.400336,2.894264319444222,1.0,0.5827465397276794,-0.1488299040317715,-0.14882990403177154
1.845,1.845,1.5701403189507241,1.0,0.8510245631169238,3.4040249999999994,2.8969088884640857,1.0,0.582577452633248,-0.14897543688307632,-0.14897543688307624
1.846,1.846,1.5707228119141325,1.0,0.8508790963781866,3.407716,2.899554310793489,1.0,0.5824084958960787,-0.1491209036218134,-0.1491209036218134
1.847,1.847,1.5713051359859176,1.0,0.8507336957151693,3.411409,2.9022005861659896,1.0,0.5822396693620535,-0.14926630428483076,-0.14926630428483068
1.8479999999999999,1.8479999999999999,1.5718872912962063,0.9999999999999999,0.8505883610910208,3.415104,2.9048477143153892,1.0,0.5820709728772923,-0.1494116389089792,-0.14941163890897916
1.849,1.849,1.5724692779749707,0.9999999999999999,0.8504430924688862,3.418801,2.907495694975721,1.0,0.5819024062881508,-0.14955690753111373,-0.14955690753111375
1.85,1.85,1.57305109615203,0.9999999999999999,0.850297889811908,3.4225000000000008,2.9101445278812563,1.0,0.5817339694412217,-0.14970211018809187,-0.1497021101880919
1.851,1.851,1.5736327459570496,0.9999999999999999,0.850152753083225,3.4262010000000003,2.912794212766499,1.0,0.5815656621833335,-0.14984724691677492,-0.1498472469167749
1.8519999999999999,1.8519999999999999,1.574214227519542,1.0,0.8500076822459731,3.429903999999999,2.9154447493661917,1.0,0.58139748436155,-0.14999231775402688,-0.14999231775402688
1.853,1.853,1.5747955409688668,1.0,0.8498626772632849,3.4336089999999997,2.91809613741531,1.0,0.5812294358231691,-0.15013732273671518,-0.1501373227367151
1.854,1.854,1.575376686434232,1.0,0.8497177380982912,3.437316,2.9207483766490663,1.0,0.5810615164157248,-0.15028226190170876,-0.1502822619017088
1.855,1.855,1.5759576640446915,0.9999999999999999,0.8495728647141193,3.4410250000000002,2.923401466802903,1.0,0.5808937259869842,-0.1504271352858806,-0.15042713528588061
1.8559999999999999,1.8559999999999999,1.5765384739291481,1.0,0.8494280570738946,3.4447359999999994,2.9260554076124987,1.0,0.5807260643849481,-0.15057194292610546,-0.15057194292610543
1.857,1.857,1.5771191162163527,1.0,0.8492833151407393,3.4484489999999997,2.928710198813767,1.0,0.580558531457851,-0.1507166848592608,-0.1507166848592607
1.858,1.858,1.5776995910349052,1.0,0.8491386388777746,3.4521640000000002,2.931365840142854,1.0,0.5803911270541598,-0.15086136112222545,-0.15086136112222537
1.859,1.859,1.5782798985132522,1.0,0.8489940282481185,3.4558809999999998,2.9340223313361355,1.0,0.5802238510225745,-0.15100597175188152,-0.15100597175188146
1.8599999999999999,1.8599999999999999,1.5788600387796905,1.0,0.8488494832148875,3.459599999999999,2.9366796721302237,1.0,0.580056703212026,-0.15115051678511257,-0.1511505167851125
1.861,1.861,1.579440011962366,0.9999999999999999,0.8487050037411961,3.463321,2.9393378622619633,1.0,0.5798896834716777,-0.15129499625880388,-0.15129499625880385
1.862,1.862,1.580019818189274,1.0,0.8485605897901579,3.467044,2.941996901468428,1.0,0.5797227916509239,-0.15143941020984217,-0.15143941020984208
1.863,1.863,1.5805994575882576,1.0,0.8484162413248834,3.4707689999999998,2.9446567894869236,1.0,0.5795560275993893,-0.1515837586751167,-0.15158375867511664
1.8639999999999999,1.8639999999999999,1.5811789302870123,1.0,0.8482719583084831,3.4744959999999994,2.9473175260549906,1.0,0.5793893911669296,-0.15172804169151696,-0.15172804169151688
1.865,1.865,1.581758236413081,1.0,0.8481277407040649,3.4782249999999997,2.9499791109103963,1.0,0.5792228822036295,-0.15187225929593506,-0.15187225929593506
1.866,1.866,1.5823373760938593,1.0,0.847983588474737,3.4819560000000003,2.9526415437911413,1.0,0.5790565005598038,-0.15201641152526302,-0.15201641152526302
1.867,1.867,1.582916349456591,1.0,0.8478395015836053,3.485689,2.9553048244354554,1.0,0.5788902460859964,-0.15216049841639476,-0.15216049841639467
1.8679999999999999,1.8679999999999999,1.5834951566283715,1.0,0.8476954799937749,3.4894239999999996,2.9579689525817976,1.0,0.5787241186329792,-0.15230452000622507,-0.15230452000622507
1.869,1.869,1.5840737977361474,1.0,0.8475515236683507,3.4931609999999997,2.960633927968859,1.0,0.578558118051753,-0.15244847633164932,-0.15244847633164926
1.87,1.87,1.584652272906716,0.9999999999999999,0.8474076325704363,3.4969000000000006,2.9632997503355596,1.0,0.5783922441935458,-0.15259236742956364,-0.15259236742956364
1.871,1.871,1.5852305822667259,0.9999999999999999,0.847263806663135,3.5006410000000003,2.9659664194210444,1.0,0.5782264969098138,-0.15273619333686486,-0.15273619333686486
1.8719999999999999,1.8719999999999999,1.5858087259426776,0.9999999999999999,0.84712004590955,3.504384,2.9686339349646924,1.0,0.5780608760522394,-0.15287995409044994,-0.15287995409044988
1.873,1.873,1.586386704060923,1.0,0.8469763502727833,3.508129,2.9713022967061087,1.0,0.5778953814727318,-0.15302364972721677,-0.15302364972721672
1.874,1.874,1.5869645167476667,1.0,0.8468327197159373,3.5118760000000004,2.9739715043851276,1.0,0.5777300130234266,-0.15316728028406265,-0.15316728028406268
1.875,1.875,1.5875421641289642,1.0,0.8466891542021142,3.515625,2.9766415577418077,1.0,0.5775647705566849,-0.15331084579788576,-0.1533108457978858
1.876,1.876,1.588119646330725,0.9999999999999999,0.8465456536944163,3.519376,2.97931245651644,1.0,0.5773996539250931,-0.15345434630558363,-0.15345434630558366
1.877,1.877,1.5886969634787103,0.9999999999999999,0.8464022181559457,3.5231290000000004,2.9819842004495394,1.0,0.5772346629814625,-0.1535977818440542,-0.15359778184405418
1.8780000000000001,1.8780000000000001,1.5892741156985348,1.0,0.8462588475498055,3.5268840000000004,2.9846567892818485,1.0,0.577069797578829,-0.15374115245019448,-0.15374115245019448
